Index,Name,Link
1,AerospaceResearch.net,https://summerofcode.withgoogle.com/archive/2021/organizations/4866654592303104/
2,Apertium,https://summerofcode.withgoogle.com/archive/2021/organizations/5702681049432064/
3,Blender Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/5672605809377280/
4,BRL-CAD,https://summerofcode.withgoogle.com/archive/2021/organizations/5647022668906496/
5,CCExtractor Development,https://summerofcode.withgoogle.com/archive/2021/organizations/5102272740065280/
6,CERN-HSF,https://summerofcode.withgoogle.com/archive/2021/organizations/6240588592054272/
7,CloudCV,https://summerofcode.withgoogle.com/archive/2021/organizations/5332159690178560/
8,DBpedia,https://summerofcode.withgoogle.com/archive/2021/organizations/4709350374899712/
9,Django Software Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/6030298738851840/
10,FFmpeg,https://summerofcode.withgoogle.com/archive/2021/organizations/6245462977282048/
11,Free and Open Source Silicon Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/6542389937700864/
12,FreeType,https://summerofcode.withgoogle.com/archive/2021/organizations/5483147923292160/
13,Gentoo Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/4842426950221824/
14,Git,https://summerofcode.withgoogle.com/archive/2021/organizations/6398200235163648/
15,Global Alliance for Genomics and Health,https://summerofcode.withgoogle.com/archive/2021/organizations/4716668999172096/
16,GNSS-SDR,https://summerofcode.withgoogle.com/archive/2021/organizations/6204387118022656/
17,GNU Octave,https://summerofcode.withgoogle.com/archive/2021/organizations/5764694136061952/
18,GNU Radio,https://summerofcode.withgoogle.com/archive/2021/organizations/5786120553496576/
19,Godot Engine,https://summerofcode.withgoogle.com/archive/2021/organizations/5744305389436928/
20,Haiku,https://summerofcode.withgoogle.com/archive/2021/organizations/5748009966501888/
21,INCF,https://summerofcode.withgoogle.com/archive/2021/organizations/6330511550578688/
22,Inkscape,https://summerofcode.withgoogle.com/archive/2021/organizations/5656327346454528/
23,Internet Archive,https://summerofcode.withgoogle.com/archive/2021/organizations/6193723385315328/
24,JBoss Community,https://summerofcode.withgoogle.com/archive/2021/organizations/5722851356704768/
25,JdeRobot - Universidad Rey Juan Carlos,https://summerofcode.withgoogle.com/archive/2021/organizations/5743038910955520/
26,KDE Community,https://summerofcode.withgoogle.com/archive/2021/organizations/4834047200591872/
27,Kiwix,https://summerofcode.withgoogle.com/archive/2021/organizations/6595970359361536/
28,LabLua,https://summerofcode.withgoogle.com/archive/2021/organizations/5651367128989696/
29,LibreHealth,https://summerofcode.withgoogle.com/archive/2021/organizations/6009541631672320/
30,LibreOffice,https://summerofcode.withgoogle.com/archive/2021/organizations/4920197969870848/
31,MariaDB Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/6249801833775104/
32,mlpack,https://summerofcode.withgoogle.com/archive/2021/organizations/5101022367711232/
33,MuseScore,https://summerofcode.withgoogle.com/archive/2021/organizations/5844642704130048/
34,National Resource for Network Biology (NRNB),https://summerofcode.withgoogle.com/archive/2021/organizations/4898028657311744/
35,NumFOCUS,https://summerofcode.withgoogle.com/archive/2021/organizations/6176584620310528/
36,Open Chemistry,https://summerofcode.withgoogle.com/archive/2021/organizations/5838773731983360/
37,OpenMRS,https://summerofcode.withgoogle.com/archive/2021/organizations/5663972321132544/
38,OpenStreetMap,https://summerofcode.withgoogle.com/archive/2021/organizations/5165116701540352/
39,OpenWISP,https://summerofcode.withgoogle.com/archive/2021/organizations/5206079750799360/
40,Oppia Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/5223170600075264/
41,OWASP Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/5704942551040000/
42,PEcAn Project,https://summerofcode.withgoogle.com/archive/2021/organizations/5117265531371520/
43,PostgreSQL,https://summerofcode.withgoogle.com/archive/2021/organizations/6316019928268800/
44,Purr Data,https://summerofcode.withgoogle.com/archive/2021/organizations/5146061710032896/
45,Python Software Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/5068943793848320/
46,QEMU,https://summerofcode.withgoogle.com/archive/2021/organizations/4837236381581312/
47,ReactOS,https://summerofcode.withgoogle.com/archive/2021/organizations/5679527786708992/
48,Red Hen Lab,https://summerofcode.withgoogle.com/archive/2021/organizations/5946697670197248/
49,RoboComp,https://summerofcode.withgoogle.com/archive/2021/organizations/6285571999137792/
50,Rocket.Chat,https://summerofcode.withgoogle.com/archive/2021/organizations/6240940410273792/
51,RTEMS Project,https://summerofcode.withgoogle.com/archive/2021/organizations/5979439984279552/
52,Ruby,https://summerofcode.withgoogle.com/archive/2021/organizations/5432182465626112/
53,ScummVM,https://summerofcode.withgoogle.com/archive/2021/organizations/5723178982178816/
54,strace,https://summerofcode.withgoogle.com/archive/2021/organizations/6067595530207232/
55,Sugar Labs,https://summerofcode.withgoogle.com/archive/2021/organizations/6572491585093632/
56,Swift,https://summerofcode.withgoogle.com/archive/2021/organizations/4908645044715520/
57,SymPy,https://summerofcode.withgoogle.com/archive/2021/organizations/5401117973807104/
58,The Honeynet Project,https://summerofcode.withgoogle.com/archive/2021/organizations/5942967122001920/
59,The Libreswan Project,https://summerofcode.withgoogle.com/archive/2021/organizations/6271961616875520/
60,The Linux Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/5715751809318912/
61,The NetBSD Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/5674199175135232/
62,The ns-3 Network Simulator Project,https://summerofcode.withgoogle.com/archive/2021/organizations/6270070723969024/
63,VideoLAN,https://summerofcode.withgoogle.com/archive/2021/organizations/6526086241845248/
64,Wikimedia Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/5270263742070784/
65,XWiki,https://summerofcode.withgoogle.com/archive/2021/organizations/5665151457427456/
