Course Title,Course Website,Video Availability
CS106B Programming Abstractions,http://web.stanford.edu/class/cs106b/,No
ðŸŽ¦ CS106B Programming Abstractions,https://see.stanford.edu/Course/CS106B,Yes
CS106X Programming Abstractions in C++,https://web.stanford.edu/class/cs106x/,No
CS107 Computer Organization & Systems,http://web.stanford.edu/class/cs107/,No
ðŸŽ¦ CS107 Programming Paradigms,https://see.stanford.edu/Course/CS107,Yes
CS107E Computer Systems from the Ground Up,http://cs107e.github.io/,No
CS110 Principles of Computer Systems,https://web.stanford.edu/class/archive/cs/cs110/cs110.1196/,No
ðŸŽ¦ CS110 Principles of Computer Systems,https://www.youtube.com/playlist?list=PLu77E6J7s6Ko3Ft4XcOX1yKW6iX3eEFqS,Yes
CS103 Mathematical Foundations of Computing,http://web.stanford.edu/class/archive/cs/cs103/cs103.1184/,No
CS109 Probability for Computer Scientists,http://web.stanford.edu/class/cs109/,No
CS161 Design and Analysis of Algorithms,http://web.stanford.edu/class/cs161/,No
ðŸŽ¦ CS1U Practical Unix,http://cs1u.stanford.edu,Yes
CS101 Introduction to Computing Principles,https://web.stanford.edu/class/cs101/,No
CS140 Operating Systems,https://web.stanford.edu/~ouster/cgi-bin/cs140-spring20/index.php,No
CS140E Operating Systems Design and Implementation,https://github.com/dddrrreee/cs140e-20win,No
CS143 Compilers,https://web.stanford.edu/class/cs143/,No
CS149 Parallel Computing,http://cs149.stanford.edu/fall19/home,No
CS240 Advanced Topics in Operating Systems,https://web.stanford.edu/class/cs240/,No
"CS240LX Advanced Systems Laboratory, Accelerated",https://github.com/dddrrreee/cs240lx-20spr,No
CS244b Distributed Systems,http://www.scs.stanford.edu/20sp-cs244b/,No
CS315B Parallel Programming,https://web.stanford.edu/class/cs315b/,No
CS348K Visual Computing Systems,http://cs348k.stanford.edu/spring20/,No
cs357S Formal Methods for Computer Systems,https://web.stanford.edu/class/cs357/,Yes
CS103A Math Problem-Solving Strategies,https://web.stanford.edu/class/cs103a/,No
CS106A Programming Methodologies,http://web.stanford.edu/class/cs106a/,No
ðŸŽ¦ CS106A Programming Methodology,https://see.stanford.edu/Course/CS106A,Yes
CS242 Programming Languages,http://cs242.stanford.edu/f19/,No
CS358 Programming Language Foundations,https://theory.stanford.edu/~mp/mp/CS358-2019.html,No
CS106L Standard C++ Programming,https://web.stanford.edu/class/cs106l/,No
CS151 Logic Programming,http://logicprogramming.stanford.edu/stanford/index.php,No
CS154 Introduction to the Theory of Computation,https://omereingold.wordpress.com/cs-154-introduction-to-automata-and-complexity-theory/,No
ðŸŽ¦ CS154 Introduction to the Theory of Computation,https://www.youtube.com/channel/UCrz06enpAptXhu4pYJfR-EQ/videos,Yes
CS163 The Practice of Theory Research,https://omereingold.wordpress.com/cs-353-the-practice-of-theory-research/,No
ðŸŽ¦ CS168 The Modern Algorithmic Toolbox,https://web.stanford.edu/class/cs168/,Yes
CS261 Optimization and Algorithmic Paradigms,https://web.stanford.edu/class/cs261/,No
CS334A/EE364A Convex Optimization I,https://web.stanford.edu/class/ee364a/,No
ðŸŽ¦ CS334A/EE364A Convex Optimization I,https://see.stanford.edu/Course/EE364A,Yes
CS334B/EE364B Convex Optimization II,http://web.stanford.edu/class/ee364b/,No
ðŸŽ¦ CS334B/EE364B Convex Optimization II,https://see.stanford.edu/Course/EE364B,Yes
MS&E213/CS269O Introduction to Optimization Theory,http://web.stanford.edu/~sidford/courses/19fa_opt_theory/fa19_opt_theory.html,Yes
CS254 Computational Complexity,https://theory.stanford.edu/~liyang/teaching/complexity20.html,No
CS254B Computational Complexity II,http://theory.stanford.edu/~liyang/teaching/complexity20b.html,No
CS243 Program Analysis and Optimizations,https://suif.stanford.edu/~courses/cs243/,No
CS265 Randomized Algorithms and Probabilistic Analysis,http://theory.stanford.edu/~valiant/teaching/CS265/index.html,No
CS351 Open Problems in Coding Theory,http://theory.stanford.edu/~siva/cs351f02.html,No
CS129 Applied Machine Learning,https://web.stanford.edu/class/cs129/,No
CS229 Machine Learning,http://cs229.stanford.edu/,No
ðŸŽ¦ CS229 Machine Learning,https://www.youtube.com/playlist?list=PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU,Yes
ðŸŽ¦ CS229 Machine Learning,https://see.stanford.edu/Course/CS229,Yes
CS229M Statistical Learning Theory,http://web.stanford.edu/class/cs229t/,No
CS205L Continuous Mathematical Methods with an Emphasis on Machine Learning,http://web.stanford.edu/class/cs205l/,No
CS221 Artificial Intelligence: Principles and Techniques,https://stanford-cs221.github.io/spring2020/,No
ðŸŽ¦ CS221 Artificial Intelligence: Principles and Techniques,https://www.youtube.com/playlist?list=PLoROMvodv4rO1NB9TD4iUZ3qghGEGtqNX,Yes
CS131 Computer Vision Foundations and Applications,http://vision.stanford.edu/teaching/cs131_fall2021/index.html,No
"CS231A Computer Vision, From 3D Reconstruction to Recognition",http://web.stanford.edu/class/cs231a/,No
CS231n Convolutional Neural Networks for Visual Recognition,http://cs231n.stanford.edu/,No
ðŸŽ¦ CS231n Convolutional Neural Networks for Visual Recognition,https://www.youtube.com/playlist?list=PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv,Yes
CS331B Representation Learning in Computer Vision,http://web.stanford.edu/class/cs331b/,No
ðŸŽ¦ CS224N Natural Language Processing with Deep Learning,http://web.stanford.edu/class/cs224n/,Yes
CS224W Machine Learning with Graphs,http://web.stanford.edu/class/cs224w/,No
ðŸŽ¦ CS224W Machine Learning with Graphs,https://www.youtube.com/playlist?list=PL-Y8zK4dwCrQyASidb2mjj_itW2-YYx6-,Yes
CS224U Natural Language Understanding,https://web.stanford.edu/class/cs224u/,No
"CS294S, CS 294W A Project Course on Building the Best Virtual Assistant",https://web.stanford.edu/class/cs294s/,No
CS224S Spoken Language Processing,https://web.stanford.edu/class/cs224s/,No
CS20 Tensorflow for Deep Learning Research,https://web.stanford.edu/class/cs20si/,No
ðŸŽ¦ CS20 Tensorflow for Deep Learning Research,https://www.youtube.com/playlist?list=PLQ0sVbIj3URf94DQtGPJV629ctn2c1zN-,Yes
ðŸŽ¦ CS230 Deep Learning,https://cs230.stanford.edu/,Yes
CS330 Deep Multi-Task and Meta Learning,https://cs330.stanford.edu/,No
ðŸŽ¦ CS330 Deep Multi-Task and Meta Learning,https://www.youtube.com/playlist?list=PLoROMvodv4rMC6zfYmnD7UG3LVvwaITY5,Yes
CS234 Reinforcement Learning,https://web.stanford.edu/class/cs234/,No
ðŸŽ¦ CS234 Reinforcement Learning,https://www.youtube.com/playlist?list=PLoROMvodv4rOSOPzutgyCTapiGlY2Nd8u,Yes
CS320 Value of Data and AI,https://canvas.stanford.edu/courses/114221,No
CS377E Computational Models of the Neocortex,https://web.stanford.edu/class/cs379c/,No
CS217 Hardware Accelerators for Machine Learning,https://cs217.stanford.edu/,No
ðŸŽ¦ CS472 Data science and AI for COVID-19,https://sites.google.com/view/data-science-covid-19/,Yes
"ðŸŽ¦ CS335 Fair, Accountable, and Transparent Deep Learning",https://hci.stanford.edu/courses/cs335/2020/sp,Yes
ðŸŽ¦ CS110L Safety in Systems Programming,https://web.stanford.edu/class/cs110l/,Yes
CS144 Introduction to Computer Networking,https://cs144.github.io/,No
ðŸŽ¦ CS144 Introduction to Computer Networking,https://www.youtube.com/playlist?list=PLvFG2xYBrYAQCyz4Wx3NPoYJOFjvU7g2Z,Yes
CS155 Computer and Network Security,https://cs155.stanford.edu/,No
CS244 Advanced Topics in Networking,https://web.stanford.edu/class/cs244/,No
CS344 Topics in Computer Networks,https://cs344-stanford.github.io/,No
CS253 Web Security,https://web.stanford.edu/class/cs253/,No
ðŸŽ¦ CS253 Web Security,https://www.youtube.com/playlist?list=PL1y1iaEtjSYiiSGVlL1cHsXN_kvJOOhu-,Yes
CS255 Introduction to Cryptography,https://crypto.stanford.edu/~dabo/cs255/,No
CS350 Secure Compilation,http://theory.stanford.edu/~mp/mp/CS350-2018.html,No
CS355 Advanced Topics in Cryptography,https://crypto.stanford.edu/cs355/20sp/,No
CS356 Topics in Computer and Network Security Stanford ,https://cs356.stanford.edu/,No
CS102 Working with Data Tools and Techniques,https://web.stanford.edu/class/cs102/,No
CS124 From Languages to Information,http://web.stanford.edu/class/cs124/,No
CS145 Data Management and Data Systems,https://cs145-fa19.github.io/,No
CS166 Data Structures,http://web.stanford.edu/class/cs166/,No
CS245 Principles of Data-Intensive Systems,https://web.stanford.edu/class/cs245/,No
CS246 Mining Massive Data Sets,http://web.stanford.edu/class/cs246/,No
ðŸŽ¦ CS246 Mining Massive Data Sets,https://www.youtube.com/channel/UC_Oao2FYkLAUlUVkBfze4jg/videos,Yes
CS246H Mining Massive Data Sets Hadoop Lab,http://snap.stanford.edu/class/cs246-2017/cs246h.html,No
CS276 / LING 286 Information Retrieval and Web Search,http://web.stanford.edu/class/cs276/,No
CS341 Project in Mining Massive Data Sets,https://web.stanford.edu/class/cs341/,No
CS448B Visualization,https://magrawala.github.io/cs448b-wi20/,No
CS147 Introduction to Human-Computer Interaction Design,https://hci.stanford.edu/courses/cs147/2019/au/,No
CS247 Interaction Design Studios ,https://hci.stanford.edu/courses/cs247/2019-winter/,No
CS347 Human-Computer Interaction Research,https://cs347.stanford.edu/2020/,No
CS377E Designing Solutions to Global Grand Challenges: Human-Centered AI,https://hci.stanford.edu/courses/cs377e/2019/sp/,No
CS547 Human-Computer Interaction Seminar,https://hci.stanford.edu/courses/cs547/,No
ðŸŽ¦ CS547 Human-Computer Interaction Seminar,https://www.youtube.com/playlist?list=PLoROMvodv4rMyupDF2O00r19JsmolyXdD,Yes
CS148 Introduction to Computer Graphics and Imaging,https://web.stanford.edu/class/cs148/lectures.html,No
CS228 Probabilistic Graphical Models: Principles and Techniques,https://cs228.stanford.edu/,No
CS233 Geometric and Topological Data Analysis,http://graphics.stanford.edu/courses/cs233-20-spring/,No
CS248 Interactive Computer Graphics,http://cs248.stanford.edu/winter20/,No
CS348A Computer Graphics: Geometric Modeling & Processing,http://graphics.stanford.edu/courses/cs348a-20-winter/,No
CS348B Computer Graphics: Image Synthesis Techniques,http://graphics.stanford.edu/courses/cs348b/,No
CS348C Computer Graphics Animation and Simulation,http://graphics.stanford.edu/courses/cs348c/,No
CS448M Topics in Computer Graphics,https://graphics.stanford.edu/courses/cs448-04-spring/schedule.html,No
CS468 Topics in Geometric Algorithms,http://graphics.stanford.edu/courses/cs468-20-fall/,No
CS142 Web Applications,https://web.stanford.edu/class/cs142/,No
CS190 Software Design Studio,https://web.stanford.edu/~ouster/cgi-bin/cs190-winter20/index.php,No
CS193A Android App Development,http://web.stanford.edu/class/cs193a/,No
ðŸŽ¦ CS193A Android App Development,https://www.youtube.com/playlist?list=PL-h0BZdG_K4n0ZKI7865AbTSVnr3QNmPj,Yes
CS193P Developing Applications for iOS using SwiftUI,https://web.stanford.edu/class/cs193p/,No
ðŸŽ¦ CS193P Developing Applications for iOS using SwiftUI,https://www.youtube.com/playlist?list=PLpGHT1n4-mAtTj9oywMWoBx0dCGd51_yG,Yes
CS193Q Introduction to Python Programming,https://web.stanford.edu/class/cs193q/,No
CS193X Web Programming Fundamental,https://web.stanford.edu/class/archive/cs/cs193x/cs193x.1176/lectures/,No
CS194A Android Workshop,https://web.stanford.edu/class/cs194a/,No
CS194 Software Project Experience,https://web.stanford.edu/class/cs194/,No
CS195 Software Engineering,http://web.stanford.edu/class/cs195/,No
CS223A/ME320 Introduction to Robotics,https://cs.stanford.edu/groups/manips/teaching/cs223a/,No
ðŸŽ¦ CS223A Introduction to Robotics,https://see.stanford.edu/Course/CS223A,Yes
CS225A Experimental Robotics,https://cs.stanford.edu/groups/manips/teaching/cs225a/,No
CS327A Advanced Robotic Manipulation,https://cs.stanford.edu/groups/manips/teaching/cs327a/,No
CS237B Principles of Robot Autonomy II,https://web.stanford.edu/class/cs237b/,No
CS326 Topics in Advanced Robotic Manipulation,http://web.stanford.edu/class/cs326/,No
ðŸŽ¦ CS529 Robotics and Autonomous Systems Seminar,https://stanfordasl.github.io/robotics_seminar/,Yes
CS193U Video Game Development in C++ and Unreal Engine,https://www.tomlooman.com/stanford-cs193u/,No
CS227B General Game Playing,http://ggp.stanford.edu/stanford/lectures.php,No
CS269I Incentives in Computer Science,http://timroughgarden.org/f18/f18.html,No
CS106S Programming Abstractions & Social Good,http://web.stanford.edu/class/cs106s/,No
"CS181/181W Computers, Ethics, and Public Policy",https://stanfordcs181.github.io/,No
"CS182 Ethics, Public Policy, and Technological Change",https://web.stanford.edu/class/cs182/,No
CS184 Bridging Policy and Tech Through Design,http://i.stanford.edu/~ullman/cs184.html,No
CS202 Law for Computer Science Professionals,http://web.stanford.edu/class/cs202/,No
CS204 Computational Law,http://complaw.stanford.edu/complaw/public/index.php,No
CS21SI AI for Social Good,https://web.stanford.edu/class/cs21si/,No
CS278 Social Computing,https://hci.stanford.edu/courses/cs278/2019/index.shtml,No
CS384 Ethical and Social Issues in Natural Language Processing,https://web.stanford.edu/class/cs384/,No
CS235 Computational Methods for Biomedical Image Analysis and Interpretation,https://canvas.stanford.edu/courses/98045,No
CS273A The Human Genome Source Code,https://web.stanford.edu/class/cs273a/cgi-bin/index.php,No
CS275 Translational Bioinformatics,https://sites.google.com/site/bmi2172016/,No
CS279 Computational Biology Structure and Organization of Biomolecules and Cells,http://web.stanford.edu/class/cs279/,No
"BIODS220 (CS271, BIOMEDIN220) Artificial Intelligence in Healthcare",https://web.stanford.edu/class/biods220/,Yes
ðŸŽ¦ CS372 AI for Disease Diagnosis & Information Recommend,http://infolab.stanford.edu/~echang/cs372/cs372-syllabus.html,Yes
ðŸŽ¦ CS522 Seminar in Artificial Intelligence in Healthcare,http://cs522.stanford.edu/,Yes
CS007 Personal Finance for Engineers,https://cs007.blog/,No
CS349F Technologies for Financial Systems,http://web.stanford.edu/class/cs349f/,No
CS251 Cryptocurrencies and Blockchain Technologies,https://cs251.stanford.edu/,No
CS206 Technical Foundations of Electronic Commerce,http://web.stanford.edu/class/cs206/,No
CS198 Teaching Computer Science,https://cs198.stanford.edu/cs198/,No
CS298 Seminar on Teaching Introductory Computer Science,http://web.stanford.edu/class/cs298/,No
CS97SI Introduction to Programming Contests,http://web.stanford.edu/class/cs97si/,No
CS9 Problem-Solving for the CS Technical Interview,https://web.stanford.edu/class/cs9/,No
CS197 Computer Science Research,http://cs197.stanford.edu/,No
CS238 Decision Making under Uncertainty,https://web.stanford.edu/class/aa228/cgi-bin/wp/,No
"EE185/285, CS241 Interactive Light Sculpture Project",http://web.stanford.edu/class/ee185/,Yes
"ðŸŽ¦ CS348E Character Animation: Modeling, Simulation & Control",https://ckllab.stanford.edu/cs-348e-character-animation,Yes
"CS476A Music, Computing and Design I",https://ccrma.stanford.edu/courses/256a/,No
ðŸŽ¦ CS520 Knowledge Graphs ,https://web.stanford.edu/class/cs520/,Yes
